date,total
2018 06 19 16 50,43
2018 06 19 17 00,47
2018 06 19 17 10,50
2018 06 19 17 20,64
2018 06 19 17 30,96
2018 06 19 17 40,124
2018 06 19 17 50,172
2018 06 19 18 00,232
2018 06 19 18 10,280
2018 06 19 18 20,268
2018 06 19 18 30,281
2018 06 19 18 40,241
2018 06 19 18 50,202
2018 06 19 19 00,176
2018 06 19 19 10,158
2018 06 19 19 20,147
2018 06 19 19 30,129
2018 06 19 19 40,118
2018 06 19 19 50,116
2018 06 19 20 00,105
2018 06 19 20 10,94
2018 06 19 20 20,65
2018 06 19 20 30,48
2018 06 19 20 40,27
2018 06 19 20 50,23
2018 06 19 21 00,40
2018 06 19 21 10,47
2018 06 19 21 20,52
2018 06 19 21 30,27
2018 06 19 21 40,12
2018 06 19 21 50,14
2018 06 19 22 00,24
2018 06 19 22 10,20
2018 06 19 22 20,28
2018 06 19 22 30,15
2018 06 19 22 40,16
2018 06 19 22 50,7
2018 06 19 23 00,15
2018 06 19 23 10,12
2018 06 19 23 20,15
2018 06 19 23 30,17
2018 06 19 23 40,14
2018 06 19 23 50,2
2018 06 20 00 00,3
2018 06 20 00 10,4
2018 06 20 00 20,7
2018 06 20 00 30,13
2018 06 20 00 40,0
2018 06 20 00 50,6
2018 06 20 01 00,8
2018 06 20 01 10,7
2018 06 20 01 20,5
2018 06 20 01 30,0
2018 06 20 01 40,0
2018 06 20 01 50,1
2018 06 20 02 00,1
2018 06 20 02 10,0
2018 06 20 02 20,0
2018 06 20 02 30,1
2018 06 20 02 40,1
2018 06 20 02 50,0
2018 06 20 03 00,1
2018 06 20 03 10,1
2018 06 20 03 20,0
2018 06 20 03 30,0
2018 06 20 03 40,1
2018 06 20 03 50,0
2018 06 20 04 00,2
2018 06 20 04 10,2
2018 06 20 04 20,0
2018 06 20 04 30,0
2018 06 20 04 40,0
2018 06 20 04 50,0
2018 06 20 05 00,0
2018 06 20 05 10,0
2018 06 20 05 20,1
2018 06 20 05 30,0
2018 06 20 05 40,0
2018 06 20 05 50,0
2018 06 20 06 00,1
2018 06 20 06 10,1
2018 06 20 06 20,1
2018 06 20 06 30,0
2018 06 20 06 40,2
2018 06 20 06 50,2
2018 06 20 07 00,5
2018 06 20 07 10,6
2018 06 20 07 20,6
2018 06 20 07 30,6
2018 06 20 07 40,9
2018 06 20 07 50,24
2018 06 20 08 00,39
2018 06 20 08 10,45
2018 06 20 08 20,52
2018 06 20 08 30,81
2018 06 20 08 40,83
2018 06 20 08 50,81
2018 06 20 09 00,74
2018 06 20 09 10,56
2018 06 20 09 20,57
2018 06 20 09 30,63
2018 06 20 09 40,42
2018 06 20 09 50,51
2018 06 20 10 00,31
2018 06 20 10 10,37
2018 06 20 10 20,38
2018 06 20 10 30,29
2018 06 20 10 40,31
2018 06 20 10 50,33
2018 06 20 11 00,44
2018 06 20 11 10,36
2018 06 20 11 20,36
2018 06 20 11 30,44
2018 06 20 11 40,78
2018 06 20 11 50,127
2018 06 20 12 00,163
2018 06 20 12 10,199
2018 06 20 12 20,220
2018 06 20 12 30,249
2018 06 20 12 40,285
2018 06 20 12 50,286
2018 06 20 13 00,391
2018 06 20 13 10,394
2018 06 20 13 20,360
2018 06 20 13 30,314
2018 06 20 13 40,251
2018 06 20 13 50,199
2018 06 20 14 00,165
2018 06 20 14 10,121
2018 06 20 14 20,72
2018 06 20 14 30,63
2018 06 20 14 40,62
2018 06 20 14 50,53
2018 06 20 15 00,48
2018 06 20 15 10,46
2018 06 20 15 20,39
2018 06 20 15 30,55
2018 06 20 15 40,67
2018 06 20 15 50,71
2018 06 20 16 00,52
2018 06 20 16 10,40
2018 06 20 16 20,36
2018 06 20 16 30,38
2018 06 20 16 40,43
2018 06 20 16 50,42
2018 06 20 17 00,36
2018 06 20 17 10,33
2018 06 20 17 20,47
2018 06 20 17 30,73
2018 06 20 17 40,139
2018 06 20 17 50,198
2018 06 20 18 00,249
2018 06 20 18 10,285
2018 06 20 18 20,278
2018 06 20 18 30,246
2018 06 20 18 40,256
2018 06 20 18 50,220
2018 06 20 19 00,192
2018 06 20 19 10,200
2018 06 20 19 20,160
2018 06 20 19 30,114
2018 06 20 19 40,113
2018 06 20 19 50,96
2018 06 20 20 00,96
2018 06 20 20 10,75
2018 06 20 20 20,71
2018 06 20 20 30,35
2018 06 20 20 40,45
2018 06 20 20 50,50
2018 06 20 21 00,43
2018 06 20 21 10,64
2018 06 20 21 20,38
2018 06 20 21 30,12
2018 06 20 21 40,13
2018 06 20 21 50,16
2018 06 20 22 00,15
2018 06 20 22 10,18
2018 06 20 22 20,19
2018 06 20 22 30,16
2018 06 20 22 40,9
2018 06 20 22 50,20
2018 06 20 23 00,14
2018 06 20 23 10,17
2018 06 20 23 20,11
2018 06 20 23 30,12
2018 06 20 23 40,7
2018 06 20 23 50,15
2018 06 21 00 00,16
2018 06 21 00 10,15
2018 06 21 00 20,15
2018 06 21 00 30,4
2018 06 21 00 40,2
2018 06 21 00 50,1
2018 06 21 01 00,0
2018 06 21 01 10,5
2018 06 21 01 20,1
2018 06 21 01 30,3
2018 06 21 01 40,4
2018 06 21 01 50,5
2018 06 21 02 00,1
2018 06 21 02 10,0
2018 06 21 02 20,0
2018 06 21 02 30,0
2018 06 21 02 40,0
2018 06 21 02 50,0
2018 06 21 03 00,0
2018 06 21 03 10,1
2018 06 21 03 20,0
2018 06 21 03 30,0
2018 06 21 03 40,0
2018 06 21 03 50,0
2018 06 21 04 00,0
2018 06 21 04 10,0
2018 06 21 04 20,0
2018 06 21 04 30,0
2018 06 21 04 40,0
2018 06 21 04 50,0
2018 06 21 05 00,2
2018 06 21 05 10,2
2018 06 21 05 20,1
2018 06 21 05 30,0
2018 06 21 05 40,0
2018 06 21 05 50,0
2018 06 21 06 00,0
2018 06 21 06 10,0
2018 06 21 06 20,0
2018 06 21 06 30,0
2018 06 21 06 40,0
2018 06 21 06 50,2
2018 06 21 07 00,7
2018 06 21 07 10,8
2018 06 21 07 20,7
2018 06 21 07 30,16
2018 06 21 07 40,16
2018 06 21 07 50,30
2018 06 21 08 00,34
2018 06 21 08 10,36
2018 06 21 08 20,40
2018 06 21 08 30,70
2018 06 21 08 40,77
2018 06 21 08 50,98
2018 06 21 09 00,80
2018 06 21 09 10,50
2018 06 21 09 20,40
2018 06 21 09 30,37
2018 06 21 09 40,47
2018 06 21 09 50,52
2018 06 21 10 00,49
2018 06 21 10 10,28
2018 06 21 10 20,34
2018 06 21 10 30,33
2018 06 21 10 40,38
2018 06 21 10 50,33
2018 06 21 11 00,30
2018 06 21 11 10,28
2018 06 21 11 20,30
2018 06 21 11 30,42
2018 06 21 11 40,61
2018 06 21 11 50,103
2018 06 21 12 00,159
2018 06 21 12 10,215
2018 06 21 12 20,264
2018 06 21 12 30,285
2018 06 21 12 40,300
2018 06 21 12 50,356
2018 06 21 13 00,435
2018 06 21 13 10,391
2018 06 21 13 20,397
2018 06 21 13 30,349
2018 06 21 13 40,288
2018 06 21 13 50,245
2018 06 21 14 00,193
2018 06 21 14 10,91
2018 06 21 14 20,52
2018 06 21 14 30,51
2018 06 21 14 40,51
2018 06 21 14 50,44
2018 06 21 15 00,41
2018 06 21 15 10,41
2018 06 21 15 20,28
2018 06 21 15 30,65
2018 06 21 15 40,83
2018 06 21 15 50,62
2018 06 21 16 00,71
2018 06 21 16 10,65
2018 06 21 16 20,43
2018 06 21 16 30,55
2018 06 21 16 40,51
2018 06 21 16 50,52
2018 06 21 17 00,41
2018 06 21 17 10,51
2018 06 21 17 20,53
2018 06 21 17 30,104
2018 06 21 17 40,124
2018 06 21 17 50,185
2018 06 21 18 00,281
2018 06 21 18 10,278
