date,total
2018 06 19 16 50,109
2018 06 19 17 00,106
2018 06 19 17 10,104
2018 06 19 17 20,147
2018 06 19 17 30,180
2018 06 19 17 40,215
2018 06 19 17 50,281
2018 06 19 18 00,356
2018 06 19 18 10,401
2018 06 19 18 20,375
2018 06 19 18 30,391
2018 06 19 18 40,377
2018 06 19 18 50,354
2018 06 19 19 00,320
2018 06 19 19 10,322
2018 06 19 19 20,313
2018 06 19 19 30,290
2018 06 19 19 40,266
2018 06 19 19 50,257
2018 06 19 20 00,251
2018 06 19 20 10,220
2018 06 19 20 20,178
2018 06 19 20 30,141
2018 06 19 20 40,109
2018 06 19 20 50,93
2018 06 19 21 00,85
2018 06 19 21 10,84
2018 06 19 21 20,86
2018 06 19 21 30,53
2018 06 19 21 40,60
2018 06 19 21 50,56
2018 06 19 22 00,65
2018 06 19 22 10,59
2018 06 19 22 20,66
2018 06 19 22 30,48
2018 06 19 22 40,57
2018 06 19 22 50,32
2018 06 19 23 00,40
2018 06 19 23 10,38
2018 06 19 23 20,39
2018 06 19 23 30,38
2018 06 19 23 40,38
2018 06 19 23 50,23
2018 06 20 00 00,27
2018 06 20 00 10,16
2018 06 20 00 20,13
2018 06 20 00 30,16
2018 06 20 00 40,1
2018 06 20 00 50,6
2018 06 20 01 00,8
2018 06 20 01 10,8
2018 06 20 01 20,5
2018 06 20 01 30,1
2018 06 20 01 40,0
2018 06 20 01 50,2
2018 06 20 02 00,1
2018 06 20 02 10,0
2018 06 20 02 20,0
2018 06 20 02 30,2
2018 06 20 02 40,1
2018 06 20 02 50,0
2018 06 20 03 00,1
2018 06 20 03 10,1
2018 06 20 03 20,0
2018 06 20 03 30,0
2018 06 20 03 40,1
2018 06 20 03 50,0
2018 06 20 04 00,2
2018 06 20 04 10,2
2018 06 20 04 20,0
2018 06 20 04 30,0
2018 06 20 04 40,0
2018 06 20 04 50,0
2018 06 20 05 00,0
2018 06 20 05 10,0
2018 06 20 05 20,1
2018 06 20 05 30,0
2018 06 20 05 40,0
2018 06 20 05 50,0
2018 06 20 06 00,1
2018 06 20 06 10,2
2018 06 20 06 20,4
2018 06 20 06 30,4
2018 06 20 06 40,5
2018 06 20 06 50,8
2018 06 20 07 00,11
2018 06 20 07 10,17
2018 06 20 07 20,29
2018 06 20 07 30,29
2018 06 20 07 40,44
2018 06 20 07 50,72
2018 06 20 08 00,94
2018 06 20 08 10,104
2018 06 20 08 20,140
2018 06 20 08 30,196
2018 06 20 08 40,237
2018 06 20 08 50,268
2018 06 20 09 00,249
2018 06 20 09 10,231
2018 06 20 09 20,189
2018 06 20 09 30,173
2018 06 20 09 40,179
2018 06 20 09 50,178
2018 06 20 10 00,148
2018 06 20 10 10,127
2018 06 20 10 20,113
2018 06 20 10 30,110
2018 06 20 10 40,103
2018 06 20 10 50,92
2018 06 20 11 00,109
2018 06 20 11 10,112
2018 06 20 11 20,133
2018 06 20 11 30,143
2018 06 20 11 40,202
2018 06 20 11 50,263
2018 06 20 12 00,322
2018 06 20 12 10,394
2018 06 20 12 20,454
2018 06 20 12 30,545
2018 06 20 12 40,630
2018 06 20 12 50,760
2018 06 20 13 00,910
2018 06 20 13 10,944
2018 06 20 13 20,922
2018 06 20 13 30,794
2018 06 20 13 40,681
2018 06 20 13 50,569
2018 06 20 14 00,453
2018 06 20 14 10,325
2018 06 20 14 20,235
2018 06 20 14 30,186
2018 06 20 14 40,169
2018 06 20 14 50,132
2018 06 20 15 00,119
2018 06 20 15 10,106
2018 06 20 15 20,119
2018 06 20 15 30,151
2018 06 20 15 40,154
2018 06 20 15 50,142
2018 06 20 16 00,111
2018 06 20 16 10,108
2018 06 20 16 20,113
2018 06 20 16 30,110
2018 06 20 16 40,100
2018 06 20 16 50,109
2018 06 20 17 00,110
2018 06 20 17 10,87
2018 06 20 17 20,102
2018 06 20 17 30,147
2018 06 20 17 40,217
2018 06 20 17 50,288
2018 06 20 18 00,381
2018 06 20 18 10,407
2018 06 20 18 20,418
2018 06 20 18 30,388
2018 06 20 18 40,401
2018 06 20 18 50,371
2018 06 20 19 00,327
2018 06 20 19 10,330
2018 06 20 19 20,297
2018 06 20 19 30,260
2018 06 20 19 40,259
2018 06 20 19 50,235
2018 06 20 20 00,227
2018 06 20 20 10,188
2018 06 20 20 20,188
2018 06 20 20 30,140
2018 06 20 20 40,144
2018 06 20 20 50,133
2018 06 20 21 00,127
2018 06 20 21 10,113
2018 06 20 21 20,84
2018 06 20 21 30,59
2018 06 20 21 40,66
2018 06 20 21 50,60
2018 06 20 22 00,49
2018 06 20 22 10,47
2018 06 20 22 20,48
2018 06 20 22 30,51
2018 06 20 22 40,35
2018 06 20 22 50,51
2018 06 20 23 00,45
2018 06 20 23 10,36
2018 06 20 23 20,33
2018 06 20 23 30,30
2018 06 20 23 40,27
2018 06 20 23 50,31
2018 06 21 00 00,27
2018 06 21 00 10,27
2018 06 21 00 20,18
2018 06 21 00 30,6
2018 06 21 00 40,2
2018 06 21 00 50,1
2018 06 21 01 00,0
2018 06 21 01 10,5
2018 06 21 01 20,2
2018 06 21 01 30,3
2018 06 21 01 40,4
2018 06 21 01 50,6
2018 06 21 02 00,1
2018 06 21 02 10,0
2018 06 21 02 20,0
2018 06 21 02 30,0
2018 06 21 02 40,1
2018 06 21 02 50,1
2018 06 21 03 00,0
2018 06 21 03 10,1
2018 06 21 03 20,1
2018 06 21 03 30,0
2018 06 21 03 40,0
2018 06 21 03 50,1
2018 06 21 04 00,0
2018 06 21 04 10,0
2018 06 21 04 20,0
2018 06 21 04 30,0
2018 06 21 04 40,0
2018 06 21 04 50,0
2018 06 21 05 00,2
2018 06 21 05 10,2
2018 06 21 05 20,1
2018 06 21 05 30,0
2018 06 21 05 40,0
2018 06 21 05 50,0
2018 06 21 06 00,1
2018 06 21 06 10,1
2018 06 21 06 20,2
2018 06 21 06 30,2
2018 06 21 06 40,2
2018 06 21 06 50,7
2018 06 21 07 00,13
2018 06 21 07 10,19
2018 06 21 07 20,30
2018 06 21 07 30,46
2018 06 21 07 40,46
2018 06 21 07 50,82
2018 06 21 08 00,109
2018 06 21 08 10,108
2018 06 21 08 20,139
2018 06 21 08 30,204
2018 06 21 08 40,239
2018 06 21 08 50,287
2018 06 21 09 00,262
2018 06 21 09 10,202
2018 06 21 09 20,162
2018 06 21 09 30,167
2018 06 21 09 40,181
2018 06 21 09 50,191
2018 06 21 10 00,164
2018 06 21 10 10,125
2018 06 21 10 20,129
2018 06 21 10 30,130
2018 06 21 10 40,128
2018 06 21 10 50,130
2018 06 21 11 00,120
2018 06 21 11 10,86
2018 06 21 11 20,92
2018 06 21 11 30,117
2018 06 21 11 40,132
2018 06 21 11 50,210
2018 06 21 12 00,289
2018 06 21 12 10,467
2018 06 21 12 20,569
2018 06 21 12 30,619
2018 06 21 12 40,667
2018 06 21 12 50,784
2018 06 21 13 00,884
2018 06 21 13 10,916
2018 06 21 13 20,912
2018 06 21 13 30,847
2018 06 21 13 40,749
2018 06 21 13 50,663
2018 06 21 14 00,568
2018 06 21 14 10,374
2018 06 21 14 20,235
2018 06 21 14 30,194
2018 06 21 14 40,177
2018 06 21 14 50,149
2018 06 21 15 00,144
2018 06 21 15 10,139
2018 06 21 15 20,120
2018 06 21 15 30,167
2018 06 21 15 40,177
2018 06 21 15 50,159
2018 06 21 16 00,150
2018 06 21 16 10,142
2018 06 21 16 20,129
2018 06 21 16 30,119
2018 06 21 16 40,118
2018 06 21 16 50,117
2018 06 21 17 00,100
2018 06 21 17 10,120
2018 06 21 17 20,132
2018 06 21 17 30,205
2018 06 21 17 40,241
2018 06 21 17 50,340
2018 06 21 18 00,440
2018 06 21 18 10,471
2018 06 21 18 20,429
2018 06 21 18 30,443
2018 06 21 18 40,407
2018 06 21 18 50,392
2018 06 21 19 00,368
2018 06 21 19 10,326
2018 06 21 19 20,294
2018 06 21 19 30,276
2018 06 21 19 40,277
2018 06 21 19 50,276
2018 06 21 20 00,228
2018 06 21 20 10,227
2018 06 21 20 20,204
2018 06 21 20 30,150
2018 06 21 20 40,145
2018 06 21 20 50,142
2018 06 21 21 00,122
2018 06 21 21 10,111
2018 06 21 21 20,75
2018 06 21 21 30,49
2018 06 21 21 40,70
2018 06 21 21 50,65
2018 06 21 22 00,62
2018 06 21 22 10,61
2018 06 21 22 20,73
2018 06 21 22 30,33
2018 06 21 22 40,36
2018 06 21 22 50,36
2018 06 21 23 00,25
2018 06 21 23 10,25
2018 06 21 23 20,49
2018 06 21 23 30,57
2018 06 21 23 40,54
2018 06 21 23 50,39
2018 06 22 00 00,31
2018 06 22 00 10,29
2018 06 22 00 20,24
2018 06 22 00 30,20
2018 06 22 00 40,17
2018 06 22 00 50,12
2018 06 22 01 00,6
2018 06 22 01 10,9
2018 06 22 01 20,6
2018 06 22 01 30,7
2018 06 22 01 40,7
2018 06 22 01 50,5
2018 06 22 02 00,5
2018 06 22 02 10,4
2018 06 22 02 20,0
2018 06 22 02 30,0
2018 06 22 02 40,0
2018 06 22 02 50,1
2018 06 22 03 00,4
2018 06 22 03 10,5
2018 06 22 03 20,3
2018 06 22 03 30,3
2018 06 22 03 40,0
2018 06 22 03 50,0
2018 06 22 04 00,0
2018 06 22 04 10,0
2018 06 22 04 20,1
2018 06 22 04 30,2
2018 06 22 04 40,0
2018 06 22 04 50,0
2018 06 22 05 00,1
2018 06 22 05 10,2
2018 06 22 05 20,0
2018 06 22 05 30,1
2018 06 22 05 40,0
2018 06 22 05 50,0
2018 06 22 06 00,2
2018 06 22 06 10,3
2018 06 22 06 20,2
2018 06 22 06 30,4
2018 06 22 06 40,1
2018 06 22 06 50,6
2018 06 22 07 00,12
2018 06 22 07 10,25
2018 06 22 07 20,33
2018 06 22 07 30,53
2018 06 22 07 40,74
2018 06 22 07 50,74
2018 06 22 08 00,83
2018 06 22 08 10,100
2018 06 22 08 20,125
2018 06 22 08 30,172
2018 06 22 08 40,208
2018 06 22 08 50,212
2018 06 22 09 00,213
2018 06 22 09 10,189
2018 06 22 09 20,166
2018 06 22 09 30,160
2018 06 22 09 40,166
2018 06 22 09 50,186
2018 06 22 10 00,172
2018 06 22 10 10,128
2018 06 22 10 20,126
2018 06 22 10 30,108
2018 06 22 10 40,97
2018 06 22 10 50,84
2018 06 22 11 00,75
2018 06 22 11 10,93
2018 06 22 11 20,110
2018 06 22 11 30,129
2018 06 22 11 40,174
2018 06 22 11 50,291
2018 06 22 12 00,365
2018 06 22 12 10,433
2018 06 22 12 20,510
2018 06 22 12 30,560
2018 06 22 12 40,626
2018 06 22 12 50,781
2018 06 22 13 00,849
2018 06 22 13 10,899
2018 06 22 13 20,879
2018 06 22 13 30,793
2018 06 22 13 40,724
2018 06 22 13 50,655
2018 06 22 14 00,497
2018 06 22 14 10,342
2018 06 22 14 20,289
2018 06 22 14 30,204
2018 06 22 14 40,163
2018 06 22 14 50,140
2018 06 22 15 00,147
2018 06 22 15 10,112
2018 06 22 15 20,109
2018 06 22 15 30,122
2018 06 22 15 40,143
2018 06 22 15 50,150
2018 06 22 16 00,136
2018 06 22 16 10,122
2018 06 22 16 20,96
2018 06 22 16 30,103
2018 06 22 16 40,122
2018 06 22 16 50,126
2018 06 22 17 00,120
2018 06 22 17 10,103
2018 06 22 17 20,146
2018 06 22 17 30,173
2018 06 22 17 40,200
2018 06 22 17 50,266
2018 06 22 18 00,300
2018 06 22 18 10,377
2018 06 22 18 20,385
2018 06 22 18 30,350
2018 06 22 18 40,327
2018 06 22 18 50,344
2018 06 22 19 00,319
2018 06 22 19 10,299
2018 06 22 19 20,262
2018 06 22 19 30,253
2018 06 22 19 40,252
2018 06 22 19 50,266
2018 06 22 20 00,222
2018 06 22 20 10,178
2018 06 22 20 20,150
2018 06 22 20 30,160
2018 06 22 20 40,133
2018 06 22 20 50,102
2018 06 22 21 00,103
2018 06 22 21 10,87
2018 06 22 21 20,56
2018 06 22 21 30,58
2018 06 22 21 40,63
2018 06 22 21 50,61
2018 06 22 22 00,46
2018 06 22 22 10,44
2018 06 22 22 20,43
2018 06 22 22 30,45
2018 06 22 22 40,37
2018 06 22 22 50,41
2018 06 22 23 00,41
2018 06 22 23 10,39
2018 06 22 23 20,38
2018 06 22 23 30,38
2018 06 22 23 40,24
2018 06 22 23 50,34
2018 06 23 00 00,18
2018 06 23 00 10,19
2018 06 23 00 20,7
2018 06 23 00 30,11
2018 06 23 00 40,6
2018 06 23 00 50,9
2018 06 23 01 00,9
2018 06 23 01 10,9
2018 06 23 01 20,2
2018 06 23 01 30,2
2018 06 23 01 40,1
2018 06 23 01 50,1
2018 06 23 02 00,0
2018 06 23 02 10,1
2018 06 23 02 20,4
2018 06 23 02 30,0
2018 06 23 02 40,4
2018 06 23 02 50,5
2018 06 23 03 00,5
2018 06 23 03 10,1
2018 06 23 03 20,0
2018 06 23 03 30,0
2018 06 23 03 40,3
2018 06 23 03 50,3
2018 06 23 04 00,0
2018 06 23 04 10,0
2018 06 23 04 20,1
2018 06 23 04 30,6
2018 06 23 04 40,2
2018 06 23 04 50,3
2018 06 23 05 00,1
2018 06 23 05 10,0
2018 06 23 05 20,0
2018 06 23 05 30,0
2018 06 23 05 40,1
2018 06 23 05 50,4
2018 06 23 06 00,3
2018 06 23 06 10,3
2018 06 23 06 20,3
2018 06 23 06 30,5
2018 06 23 06 40,1
2018 06 23 06 50,2
2018 06 23 07 00,5
2018 06 23 07 10,12
2018 06 23 07 20,16
2018 06 23 07 30,26
2018 06 23 07 40,40
2018 06 23 07 50,45
2018 06 23 08 00,45
2018 06 23 08 10,59
2018 06 23 08 20,67
2018 06 23 08 30,67
2018 06 23 08 40,72
